ts in ms,player id,group id,x in m,y in m
2160,15,2,11.906,-3.844
2160,20,2,2.460,-3.700
2160,22,2,12.826,-1.743
2160,18,2,10.976,-2.088
2160,21,2,9.172,2.844
2200,8,1,12.948,2.722
2200,3,1,6.422,4.420
2200,9,1,0.838,-1.667
2200,4,1,10.092,-3.975
2200,10,1,13.036,-3.566
2200,15,2,11.945,-3.761
2200,20,2,2.560,-3.566
2200,22,2,12.857,-1.722
2200,18,2,10.906,-2.128
2200,21,2,9.303,2.725
2240,8,1,12.936,2.634
2240,3,1,6.380,4.420
2240,9,1,0.893,-1.652
2240,4,1,10.004,-4.106
2240,10,1,13.003,-3.475
2240,15,2,11.979,-3.670
2240,20,2,2.646,-3.481
2240,22,2,12.844,-1.719
2240,18,2,10.839,-2.179
2240,21,2,9.418,2.658
2280,8,1,12.936,2.545
2280,3,1,6.337,4.420
2280,9,1,1.024,-1.649
2280,4,1,9.906,-4.200
2280,10,1,13.055,-3.399
2280,15,2,11.997,-3.609
2280,20,2,2.725,-3.386
2280,22,2,12.869,-1.695
2280,18,2,10.766,-2.259
2280,21,2,9.559,2.557
2320,8,1,12.924,2.438
2320,3,1,6.291,4.420
2320,9,1,1.113,-1.625
2320,4,1,9.809,-4.316
2320,10,1,13.070,-3.277
2320,15,2,11.988,-3.536
2320,20,2,2.792,-3.310
2320,22,2,12.905,-1.683
2320,18,2,10.686,-2.329
2320,21,2,9.662,2.469
2360,8,1,12.924,2.396
2360,3,1,6.248,4.377
2360,9,1,1.244,-1.579
2360,4,1,9.732,-4.420
2360,10,1,13.116,-3.182
2360,15,2,12.006,-3.450
2360,20,2,2.890,-3.200
2360,22,2,12.924,-1.670
2360,18,2,10.586,-2.396
2360,21,2,9.802,2.350
2400,8,1,12.911,2.323
2400,3,1,6.218,4.359
2400,9,1,1.323,-1.548
2400,4,1,9.653,-4.514
2400,10,1,13.137,-3.079
2400,15,2,11.997,-3.383
2400,20,2,2.987,-3.103
2400,22,2,12.918,-1.649
2400,18,2,10.528,-2.438
2400,21,2,9.888,2.289
2440,8,1,12.918,2.234
2440,3,1,6.172,4.313
2440,9,1,1.423,-1.515
2440,4,1,9.556,-4.587
2440,10,1,13.174,-2.969
2440,15,2,12.006,-3.319
2440,20,2,3.057,-2.984
2440,22,2,12.927,-1.643
2440,18,2,10.446,-2.536
2440,21,2,9.988,2.198
2480,8,1,12.911,2.146
2480,3,1,6.130,4.270
2480,9,1,1.530,-1.475
2480,4,1,9.455,-4.663
2480,10,1,13.155,-2.880
2480,15,2,12.000,-3.243
2480,20,2,3.133,-2.899
2480,22,2,12.918,-1.619
2480,18,2,10.403,-2.600
2480,21,2,10.098,2.155
2520,8,1,12.921,2.100
2520,3,1,6.090,4.249
2520,9,1,1.643,-1.451
2520,4,1,9.379,-4.746
2520,10,1,13.180,-2.789
2520,15,2,12.003,-3.164
2520,20,2,3.219,-2.804
2520,22,2,12.911,-1.585
2520,18,2,10.330,-2.673
2520,21,2,10.199,2.082
2560,8,1,12.921,2.057
2560,3,1,6.044,4.203
2560,9,1,1.728,-1.405
2560,4,1,9.290,-4.834
2560,10,1,13.180,-2.704
2560,15,2,12.003,-3.079
2560,20,2,3.307,-2.716
2560,22,2,12.869,-1.585
2560,18,2,10.244,-2.716
2560,21,2,10.287,1.993
2600,8,1,12.930,2.030
2600,3,1,5.999,4.179
2600,9,1,1.832,-1.378
2600,4,1,9.196,-4.910
2600,10,1,13.204,-2.630
2600,15,2,12.009,-3.011
2600,20,2,3.392,-2.643
2600,22,2,12.854,-1.548
2600,18,2,10.159,-2.789
2600,21,2,10.388,1.911
2640,8,1,12.930,1.987
2640,3,1,5.956,4.179
2640,9,1,1.920,-1.378
2640,4,1,9.065,-4.953
2640,10,1,13.204,-2.588
2640,15,2,12.009,-2.969
2640,20,2,3.481,-2.600
2640,22,2,12.811,-1.506
2640,18,2,10.116,-2.874
2640,21,2,10.430,1.868
2680,8,1,12.942,1.972
2680,3,1,5.944,4.154
2680,9,1,2.018,-1.350
2680,4,1,8.970,-5.029
2680,10,1,13.235,-2.530
2680,15,2,12.015,-2.923
2680,20,2,3.557,-2.560
2680,22,2,12.783,-1.466
2680,18,2,10.025,-2.941
2680,21,2,10.531,1.786
2720,8,1,12.942,1.972
2720,3,1,5.944,4.154
2720,9,1,2.103,-1.350
2720,4,1,8.885,-5.115
2720,10,1,13.277,-2.487
2720,15,2,12.015,-2.880
2720,20,2,3.642,-2.560
2720,22,2,12.741,-1.423
2720,18,2,9.937,-2.987
2720,21,2,10.616,1.740
2760,8,1,12.951,1.975
2760,3,1,5.944,4.154
2760,9,1,2.198,-1.326
2760,4,1,8.787,-5.188
2760,10,1,13.311,-2.441
2760,15,2,12.025,-2.829
2760,20,2,3.713,-2.563
2760,22,2,12.704,-1.375
2760,18,2,9.851,-3.039
2760,21,2,10.708,1.664
2800,8,1,12.957,1.978
2800,3,1,5.941,4.133
2800,9,1,2.292,-1.323
2800,4,1,8.690,-5.233
2800,10,1,13.366,-2.408
2800,15,2,12.034,-2.783
2800,20,2,3.758,-2.569
2800,22,2,12.634,-1.323
2800,18,2,9.775,-3.091
2800,21,2,10.757,1.588
2840,8,1,12.963,1.984
2840,3,1,5.941,4.133
2840,9,1,2.387,-1.295
2840,4,1,8.595,-5.313
2840,10,1,13.387,-2.347
2840,15,2,12.040,-2.731
2840,20,2,3.834,-2.585
2840,22,2,12.622,-1.241
2840,18,2,9.711,-3.130
2840,21,2,10.836,1.539
2880,8,1,12.966,1.987
2880,3,1,5.901,4.115
2880,9,1,2.457,-1.305
2880,4,1,8.525,-5.380
2880,10,1,13.433,-2.326
2880,15,2,12.046,-2.698
2880,20,2,3.898,-2.603
2880,22,2,12.558,-1.198
2880,18,2,9.610,-3.164
2880,21,2,10.851,1.490
2920,8,1,12.979,1.993
2920,3,1,5.855,4.115
2920,9,1,2.518,-1.280
2920,4,1,8.446,-5.477
2920,10,1,13.463,-2.256
2920,15,2,12.049,-2.646
2920,20,2,3.947,-2.640
2920,22,2,12.530,-1.146
2920,18,2,9.519,-3.161
2920,21,2,10.942,1.439
2960,8,1,12.979,1.993
2960,3,1,5.813,4.115
2960,9,1,2.557,-1.298
2960,4,1,8.358,-5.526
2960,10,1,13.457,-2.243
2960,15,2,12.052,-2.624
2960,20,2,3.990,-2.688
2960,22,2,12.479,-1.119
2960,18,2,9.403,-3.182
2960,21,2,10.976,1.411
3000,8,1,12.994,2.009
3000,3,1,5.770,4.115
3000,9,1,2.612,-1.274
3000,4,1,8.245,-5.593
3000,10,1,13.451,-2.210
3000,15,2,12.055,-2.573
3000,20,2,4.054,-2.743
3000,22,2,12.448,-1.055
3000,18,2,9.318,-3.179
3000,21,2,11.031,1.350
3040,8,1,12.991,2.051
3040,3,1,5.727,4.115
3040,9,1,2.627,-1.295
3040,4,1,8.138,-5.621
3040,10,1,13.481,-2.210
3040,15,2,12.009,-2.569
3040,20,2,4.084,-2.826
3040,22,2,12.363,-1.042
3040,18,2,9.187,-3.191
3040,21,2,11.046,1.338
3080,8,1,13.006,2.070
3080,3,1,5.682,4.115
3080,9,1,2.615,-1.277
3080,4,1,8.047,-5.703
3080,10,1,13.475,-2.170
3080,15,2,12.006,-2.560
3080,20,2,4.164,-2.896
3080,22,2,12.369,-1.009
3080,18,2,9.071,-3.179
3080,21,2,11.095,1.317
3120,8,1,13.012,2.088
3120,3,1,5.596,4.115
3120,9,1,2.591,-1.283
3120,4,1,7.943,-5.758
3120,10,1,13.491,-2.140
3120,15,2,12.000,-2.557
3120,20,2,4.209,-2.963
3120,22,2,12.332,-0.963
3120,18,2,8.964,-3.167
3120,21,2,11.104,1.298
3160,8,1,13.012,2.131
3160,3,1,5.550,4.115
3160,9,1,2.545,-1.283
3160,4,1,7.815,-5.800
3160,10,1,13.448,-2.140
3160,15,2,11.957,-2.557
3160,20,2,4.209,-3.048
3160,22,2,12.287,-0.921
3160,18,2,8.833,-3.124
3160,21,2,11.104,1.256
3200,8,1,13.012,2.152
3200,3,1,5.465,4.115
3200,9,1,2.493,-1.295
3200,4,1,7.705,-5.846
3200,10,1,13.457,-2.109
3200,15,2,11.939,-2.551
3200,20,2,4.231,-3.115
3200,22,2,12.247,-0.872
3200,18,2,8.727,-3.100
3200,21,2,11.095,1.241
3240,8,1,13.012,2.195
3240,3,1,5.377,4.115
3240,9,1,2.448,-1.338
3240,4,1,7.577,-5.892
3240,10,1,13.457,-2.067
3240,15,2,11.896,-2.551
3240,20,2,4.231,-3.200
3240,22,2,12.204,-0.829
3240,18,2,8.638,-3.057
3240,21,2,11.052,1.198
3280,8,1,13.003,2.219
3280,3,1,5.246,4.115
3280,9,1,2.387,-1.347
3280,4,1,7.474,-5.935
3280,10,1,13.457,-2.036
3280,15,2,11.866,-2.542
3280,20,2,4.212,-3.274
3280,22,2,12.153,-0.786
3280,18,2,8.538,-3.018
3280,21,2,11.031,1.192
3320,8,1,13.003,2.219
3320,3,1,5.118,4.115
3320,9,1,2.301,-1.393
3320,4,1,7.343,-5.980
3320,10,1,13.414,-1.993
3320,15,2,11.823,-2.542
3320,20,2,4.167,-3.359
3320,22,2,12.110,-0.698
3320,18,2,8.449,-2.975
3320,21,2,10.988,1.146
3360,8,1,12.985,2.237
3360,3,1,4.941,4.115
3360,9,1,2.237,-1.402
3360,4,1,7.227,-6.023
3360,10,1,13.414,-1.966
3360,15,2,11.778,-2.533
3360,20,2,4.115,-3.438
3360,22,2,12.046,-0.661
3360,18,2,8.342,-2.926
3360,21,2,10.961,1.140
3400,8,1,12.927,2.256
3400,3,1,4.813,4.072
3400,9,1,2.121,-1.466
3400,4,1,7.074,-6.063
3400,10,1,13.375,-1.969
3400,15,2,11.692,-2.545
3400,20,2,3.993,-3.533
3400,22,2,11.921,-0.616
3400,18,2,8.208,-2.856
3400,21,2,10.915,1.119
3440,8,1,12.915,2.256
3440,3,1,4.682,4.026
3440,9,1,2.060,-1.457
3440,4,1,6.962,-6.105
3440,10,1,13.405,-1.893
3440,15,2,11.668,-2.530
3440,20,2,3.959,-3.618
3440,22,2,11.890,-0.579
3440,18,2,8.123,-2.822
3440,21,2,10.927,1.134
3480,8,1,12.860,2.271
3480,3,1,4.551,3.984
3480,9,1,1.923,-1.515
3480,4,1,6.797,-6.136
3480,10,1,13.366,-1.905
3480,15,2,11.546,-2.545
3480,20,2,3.847,-3.691
3480,22,2,11.778,-0.546
3480,18,2,7.977,-2.762
3480,21,2,10.845,1.113
3520,8,1,12.835,2.274
3520,3,1,4.420,3.941
3520,9,1,1.829,-1.469
3520,4,1,6.684,-6.175
3520,10,1,13.393,-1.868
3520,15,2,11.503,-2.530
3520,20,2,3.777,-3.761
3520,22,2,11.717,-0.494
3520,18,2,7.861,-2.713
3520,21,2,10.833,1.134
3560,8,1,12.783,2.280
3560,3,1,4.289,3.898
3560,9,1,1.661,-1.527
3560,4,1,6.508,-6.194
3560,10,1,13.356,-1.887
3560,15,2,11.357,-2.548
3560,20,2,3.645,-3.853
3560,22,2,11.579,-0.430
3560,18,2,7.702,-2.670
3560,21,2,10.757,1.158
